Specie_FAO,Peso_medio_ind_kg,kg_2019,kg_2020,kg_2021,kg_2022,kg_2023,Media_kg_5anni,Individui_annui,Percentuale_ind
"Atlantic halibut, smoked",1.5,3.94,2.55,2.78,16.759999999999998,2.73,5.752,3834.6666666666665,0.00018760647185054417
"Atlantic herring fillets, fresh or chilled",1.5,0.0,4.53,0.0,0.0,0.0,0.906,604.0,2.9549976268531475e-05
"Atlantic herring, fresh or chilled",1.5,30200.19,24274.36,26166.24,20745.59,17683.48,23813.972,15875981.333333334,0.7767133636418025
"Atlantic herring, frozen",1.5,16236.11,16208.1,13957.630000000001,16513.54,12351.78,15053.432,10035621.333333334,0.4909807487416692
"Atlantic herring, not minced, prep. or pres., nei",1.5,279.72,89.71000000000001,406.17,175.39999999999998,613.2700000000001,312.85400000000004,208569.33333333337,0.010204004719111641
"Atlantic herring, smoked",1.5,0.02,0.0,0.0,0.0,1.77,0.358,238.66666666666666,1.1676480688889918e-05
"Atlantic mackerel prepared or preserved, not minced",1.5,17.02,5.69,5.1899999999999995,8.23,9.04,9.033999999999999,6022.666666666665,0.00029465175012131705
"Atlantic mackerel, fresh or chilled",1.5,8069.03,6615.74,591.29,2815.12,5136.49,4645.534,3097022.6666666665,0.1515181230183842
"Atlantic mackerel, frozen",1.5,13388.66,15347.37,15610.730000000001,18420.21,14830.06,15519.405999999999,10346270.666666666,0.5061788951453697
"Atlantic redfishes, fillets, frozen",1.5,1149.97,929.95,1185.77,1331.3999999999999,984.6800000000001,1116.354,744236.0,0.036410854533421834
"Atlantic redfishes, fresh or chilled",1.5,15052.82,14257.14,18396.61,15895.14,13872.01,15494.744,10329829.333333334,0.5053745226125502
"Atlantic redfishes, frozen",1.5,1379.8,1642.22,2376.53,2281.8799999999997,2111.84,1958.4540000000002,1305636.0000000002,0.06387667684659001
"Atlantic salmon and Danube salmon, frozen",1.5,4051.4300000000003,4232.25,12340.07,9971.42,13240.27,8767.088,5844725.333333333,0.28594618360278923
"Atlantic salmon, not minced, prepared or preserved",1.5,15.54,52.879999999999995,31.17,8.73,12.430000000000001,24.15,16100.0,0.0007876732084823787
"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, fresh or chilled",1.5,27.229999999999997,76.7,47.11,59.339999999999996,65.12,55.1,36733.333333333336,0.001797134318317974
"Atlantic(Thunnus thynnus)and Pacific(Thunnus orientalis)bluefin tuna, frozen",1.5,2.85,2.8299999999999996,7.31,0.61,0.6699999999999999,2.8539999999999996,1902.6666666666663,9.308568683265873e-05
"Balls, cakes, sausages, etc.prepared from minced fish",1.5,69.60000000000001,82.05,45.21,51.76,82.57000000000001,66.238,44158.666666666664,0.0021604098543874036
"Bigeye tuna, fresh or chilled",1.5,5.13,7.46,49.79,53.9,30.180000000000003,29.292,19528.0,0.0009553840009468255
"Bigeye tuna, frozen, nei",1.5,0.0,0.0,0.0,2.38,0.04,0.484,322.6666666666667,1.5786080037493635e-05
"Blue mackerel, frozen",1.5,9.33,46.15,32.78,53.36,48.82,38.088,25392.0,0.00124227317452078
"Blue shark ""Prionace glauca"", fillets, fresh or chilled",1.5,2.83,3.3,1.88,4.04,3.55,3.12,2080.0,0.00010176150767971103
"Blue shark ""Prionace glauca"", fillets, frozen",1.5,8.850000000000001,3.39,2.08,2.13,0.05,3.3000000000000007,2200.0000000000005,0.00010763236389200209
"Blue shark ""Prionace glauca"", fresh or chilled",1.5,8.26,0.18,0.18,0.09,0.37,1.8159999999999996,1210.6666666666663,5.923041600844717e-05
"Blue shark ""Prionace glauca"", frozen",1.5,0.0,0.0,0.85,0.0,0.0,0.16999999999999998,113.33333333333331,5.544697533830408e-06
"Blue whiting (Micromesistius poutassou), frozen",1.5,48475.58,44475.28,37884.77,21996.41,40899.479999999996,38746.304000000004,25830869.333333332,1.2637443307873135
